,Sample,AminoSugar,Carb,ConcHC,Lignin,Lipid,Other,Protein,Tannin,UnsatHC,SumAllCompounds
3,S19S_0006_Wat,4.060443011,2.564949357,4.96284463,7.021083964,3.912023005,1.945910149,5.411646052,5.398162702,1.386294361,36.66335723
5,S19S_0008_Wat,3.610917913,1.945910149,5.278114659,6.941190055,3.17805383,1.945910149,5.164785974,5.537334267,2.63905733,36.24127433
6,S19S_0010_Wat,4.290459441,2.564949357,5.488937726,7.20489251,3.610917913,1.791759469,5.442417711,5.872117789,2.708050201,38.97450212
7,S19S_0011_Wat,4.615120517,3.80666249,5.620400866,7.145984468,4.17438727,1.945910149,5.755742214,5.916202063,2.772588722,41.75299876
8,S19S_0012_Wat,3.828641396,2.397895273,5.609471795,7.038783541,2.944438979,1.791759469,5.087596335,5.828945618,2.302585093,36.8301175
10,S19S_0014_Wat,3.970291914,2.708050201,3.713572067,6.877296071,3.401197382,1.791759469,5.361292166,3.850147602,1.386294361,33.05990123
11,S19S_0015_Wat,4.418840608,3.295836866,5.560681631,7.149916836,4.043051268,1.609437912,5.697093487,5.888877958,2.197224577,39.86096114
12,S19S_0016_Wat,2.995732274,1.609437912,3.931825633,7.042286172,3.295836866,2.302585093,5.030437921,3.988984047,2.48490665,32.68203257
13,S19S_0017_Wat,4.17438727,2.63905733,5.549076085,7.114769448,3.044522438,1.386294361,5.278114659,5.777652323,2.197224577,37.16109849
14,S19S_0020_Wat,4.356708827,3.218875825,5.713732806,7.22620901,3.583518938,2.197224577,5.455321115,5.993961427,2.708050201,40.45360273
15,S19S_0021_Wat,4.521788577,3.526360525,5.556828062,7.22620901,4.043051268,1.791759469,5.713732806,5.789960171,2.995732274,41.16542216
16,S19S_0022_Wat,3.688879454,1.386294361,5.111987788,6.802394763,3.091042453,1.098612289,5.043425117,5.342334252,1.386294361,32.95126484
17,S19S_0023_Wat,3.871201011,1.945910149,5.424950017,7.021976423,3.091042453,1.386294361,5.056245805,5.752572639,2.079441542,35.6296344
19,S19S_0026_Wat,3.610917913,1.386294361,5.187385806,6.786716951,2.708050201,1.791759469,4.787491743,5.521460918,0.693147181,32.47322454
20,S19S_0027_Wat,3.583518938,0.693147181,4.997212274,7.014814351,2.708050201,1.386294361,4.890349128,5.707110265,2.48490665,33.46540335
21,S19S_0028_Wat,2.197224577,1.609437912,4.820281566,7.097548851,2.708050201,1.609437912,4.406719247,5.365976015,2.48490665,32.29958293
22,S19S_0031_Wat,3.465735903,1.386294361,4.465908119,6.613384218,3.36729583,2.397895273,4.736198448,5.117993812,0.0,31.55070596
23,S19S_0032_Wat,4.025351691,2.197224577,5.583496309,7.069023427,3.761200116,2.397895273,5.384495063,5.765191103,2.995732274,39.17960983
24,S19S_0034_Wat,3.36729583,1.098612289,5.017279837,6.992096427,2.995732274,1.791759469,4.890349128,5.484796933,2.197224577,33.83514676
25,S19S_0035_Wat,3.891820298,2.833213344,5.697093487,7.118016204,3.044522438,1.791759469,4.983606622,5.976350909,2.63905733,37.9754401
27,S19S_0038_Wat,3.258096538,0.693147181,3.931825633,6.463029457,2.772588722,1.386294361,4.59511985,4.836281907,0.0,27.93638365
28,S19S_0039_Wat,5.023880521,4.59511985,5.683579767,7.241366283,4.406719247,2.397895273,6.033086222,5.913503006,2.302585093,43.59773526
29,S19S_0041_Wat,3.688879454,1.945910149,4.941642423,6.66949809,2.772588722,0.693147181,4.934473933,5.393627546,1.609437912,32.64920541
31,S19S_0043_Wat,3.828641396,2.995732274,4.33073334,7.210818453,3.465735903,2.197224577,5.501258211,4.521788577,2.197224577,36.24915731
32,S19S_0044_Wat,3.891820298,2.772588722,5.624017506,7.067319849,3.044522438,1.609437912,4.96284463,5.866468057,2.197224577,37.03624399
39,S19S_0052_Wat,3.871201011,1.386294361,5.236441963,6.983789965,3.36729583,1.609437912,5.036952602,5.641907071,1.386294361,34.51961508
40,S19S_0053_Wat,4.532599493,3.496507561,5.572154032,7.250635512,3.871201011,1.791759469,5.609471795,5.948034989,2.197224577,40.26958844
