,long,lat,name,DRNAREA,ELEV,PRECIP,ELEVMAX,MINBELEV,FOREST
0,-76.71763659,39.31208756,S19S_0006,5.44,,45.3,,,4.54
2,-119.028067588806,36.96088296,S19S_0008,0.9,7517.0,40.4,8086.0,6752.0,66.9
3,-81.84022665,31.66812056,S19S_0010,13600.0,447.0,,1683.0,35.0,
4,-83.43751431,33.95614015,S19S_0011,390.0,889.0,,1338.0,571.0,
5,-72.3308301,42.47182784,S19S_0012,4.73,999.0,,,,82.95
7,-77.98160076,39.09444749,S19S_0014,4.67,569.48,38.97,673.65,406.02,
8,-84.43711996,31.18580234,S19S_0015,5820.0,505.0,,1348.0,89.0,
9,-96.60295486,39.10433895,S19S_0016,5.07,,,,,
10,-96.44371748,38.94682696,S19S_0017,8.7,,,,,
13,-88.15867424,31.85301015,S19S_0020,18000.0,,,,,
14,-87.79771328,32.54107916,S19S_0021,6250.0,,,,,
15,-87.40866423,32.96148822,S19S_0022,5.51,,,,,
16,-102.4490976,39.75850682,S19S_0023,1110.0,4873.0,16.87,5970.0,3870.0,
18,-105.5439591,40.03517222,S19S_0026,1.86,10822.0,35.12,11700.0,9890.0,
19,-105.9115076,39.89080549,S19S_0027,1.9,10480.0,27.99,11600.0,9520.0,
20,-111.507926,33.75103423,S19S_0028,105.06,4151.083,26.1,7124.82,2120.51,
23,-122.1649861,44.2605838,S19S_0031,1.98,4050.0,91.0,5280.0,2920.0,94.4
24,-119.0236902,36.95481315,S19S_0032,1.2,7571.0,40.3,8157.0,6606.0,62.3
26,-106.5241241,35.86799524,S19S_0034,1.44,10203.0,29.6,,,
27,-110.7613063,32.32860915,S19S_0035,0.21,4833.104,22.3,5730.73,4212.77,
29,-75.78412056,39.85953363,S19S_0038,2.76,440.0,45.0,556.0,,34.4577
30,-84.35740471,35.9662322,S19S_0039,19.27,,,,,
32,-120.8583856,44.30000334,S19S_0041,2770.0,4570.0,14.4,7140.0,2840.0,24.5
33,-89.47179794,43.14480437,S19S_0043,9.82,,32.903,,,2.01
34,-79.81018066,33.13072316,S19S_0044,71.7,32.4,48.0,62.5,-0.69,
37,-74.6952939,42.13241262,S19S_0052,35.0,,43.1,,,86.0
38,-72.79676199,41.86940104,S19S_0053,494.0,957.0,,,,
39,-77.0255971,37.57267807,S19S_0054,1380.0,279.82,44.214,1810.09,-2.62,
40,-117.180497646332,46.73213982,S19S_0055,127.58,2750.0,22.0,4970.0,2340.0,
42,-117.3905897,48.16893337,S19S_0059,0.16,,,,,
43,-119.4777989,46.25277554,S19S_0060,5613.49,2850.0,29.9,8170.0,462.0,
44,-89.64077711,43.10903535,S19S_0061,10.9,,33.723,,,36.26
45,-106.950466632843,38.54459083,S19S_0062,1010.0,10211.0,25.6,13000.0,7670.0,
46,-78.00713539,40.61067831,S19S_0064,46.4,1140.0,38.0,2314.0,,75.0058
47,-122.8833246,38.50970824,S19S_0065,1040.6,1289.0,46.8,4491.0,34.0,28.6
49,-122.2577691,44.20714243,S19S_0068,0.39,2370.0,88.6,3340.0,1520.0,99.8
50,-123.735065460205,39.36257244,S19S_0069,1.5,685.0,50.6,1031.0,284.0,79.1
51,-123.752081394196,39.33962476,S19S_0070,1.5,572.0,47.9,1084.0,151.0,83.1
52,-105.4588795,40.0127428695238,S19S_0071,1.03,8593.0,20.14,9060.0,8000.0,
53,-71.18554831,42.52343547,S19S_0072,1.51,156.0,,,,8.97
54,-70.91687679,42.76958872,S19S_0073,1.78,67.7,,,,77.12
55,-105.224840641022,40.66454255,S19S_0077,1050.0,8416.0,21.29,13600.0,5230.0,
56,-123.5867715,43.4309202,S19S_0078,9.05,1040.0,49.8,2320.0,319.0,96.9
57,-123.5719872,43.63663422,S19S_0079,3970.0,2320.0,51.2,9090.0,75.4,84.5
59,-76.92579746,38.96035985,S19S_0081,72.5,,44.3,,,28.3
60,-76.54666185,38.87513132,S19S_0082,0.0571,,44.4,,,17.8
61,-88.32286835,40.31076886,S19S_0083,241.28,,,956.0,692.0,
62,-71.72269821,43.95456417,S19S_0084,0.17,,,2357.431,,
63,-115.9886098,43.64834238,S19S_0085,397.02,5070.0,24.7,8130.0,3080.0,66.0
65,-116.7745829,43.1231638,S19S_0087,5.41,6090.0,15.0,7370.0,4850.0,40.0
66,-80.4451561,37.21013144,S19S_0089,5.59,2102.55,41.533,2325.24,1987.24,
69,-111.886332,41.72064112,S19S_0097,528.0,7220.0,31.2,,,33.5
70,-111.5802813,41.95021881,S19S_0098,25.5,8300.0,42.4,,,42.7
71,-84.7121644,39.23881808,S19S_0099,3840.0,,,,,11.5
