,Sample_ID,Stream_Order,Sediment,US_Water.Column.Height_cm,US_Sunlight.Access_Perc.Canopy.Cover,MS_Water.Column.Height_cm,MS_Sunlight.Access_Perc.Canopy.Cover,DS_Water.Column.Height_cm,DS_Sunlight.Access_Perc.Canopy.Cover,SW_pH,DO_perc.sat,DO_mg.per.L,SW_Temp_degC
4,S19S_0006,2.0,3,17.0,10,10.0,10,6.0,65,7.5,,,25.7
6,S19S_0008,1.0,2,6.0,35,22.0,35,12.0,10,6.5,41.1,4.62,12.6
8,S19S_0010,7.0,1,30.0,10,30.0,10,30.0,10,6.7,,,30.0
9,S19S_0011,5.0,1,100.0,35,100.0,10,100.0,10,6.7,,,24.0
10,S19S_0012,2.0,3,12.0,10,5.0,65,4.0,65,6.5,105.1,9.63,18.2
12,S19S_0014,2.0,1,14.0,65,15.0,65,9.0,65,7.5,100.9,9.6,18.8
13,S19S_0015,7.0,2,94.488,65,131.064,65,222.504,65,7.0,88.3,6.87,28.2
14,S19S_0016,2.0,3,16.0,65,15.0,65,17.0,35,7.5,48.7,4.37,18.5
15,S19S_0017,3.0,3,5.0,90,18.5,35,14.0,35,7.5,85.4,7.3,20.7
18,S19S_0020,7.0,2,21.5,35,26.0,10,30.5,10,7.5,93.4,6.61,30.5
19,S19S_0021,6.0,1,26.0,65,21.0,10,15.0,65,7.5,90.5,6.55,33.4
20,S19S_0022,7.0,2,15.0,65,9.0,65,12.5,90,7.0,84.9,7.45,22.3
21,S19S_0023,4.0,2,19.0,10,12.5,10,29.5,10,7.5,52.7,3.83,24.7
24,S19S_0026,1.0,4,17.0,35,7.0,35,11.0,35,6.0,98.9,8.25,9.5
25,S19S_0027,1.0,3,10.0,65,9.0,90,16.0,35,6.5,109.6,9.57,7.1
26,S19S_0028,4.0,2,10.0,10,22.0,35,12.0,35,7.5,,,23.8
29,S19S_0031,1.0,3,11.0,35,9.0,35,24.0,35,6.0,96.6,9.56,12.4
30,S19S_0032,1.0,3,5.0,35,10.5,65,39.5,35,7.0,87.5,9.35,13.1
32,S19S_0034,1.0,3,4.0,35,5.4,35,9.2,65,7.0,94.0,,13.8
33,S19S_0035,1.0,3,19.0,90,13.0,90,14.0,35,6.5,63.1,5.88,18.4
36,S19S_0038,2.0,3,7.1,90,27.0,90,9.4,90,6.5,95.1,8.62,19.5
37,S19S_0039,3.0,3,20.0,65,7.6,65,7.0,35,7.5,71.0,6.13,22.8
39,S19S_0041,6.0,2,18.0,35,10.0,35,24.0,10,6.5,,,20.0
41,S19S_0043,3.0,1,45.0,10,30.0,10,20.0,10,7.5,,,15.7
42,S19S_0044,3.0,1,24.0,10,22.0,10,37.0,10,6.0,,,24.0
50,S19S_0052,2.0,3,9.5,65,8.5,65,8.5,65,6.5,,,20.3
51,S19S_0053,1.0,2,19.0,35,22.0,65,10.0,90,6.5,,,22.78
52,S19S_0054,5.0,1,40.0,10,35.0,10,40.0,10,6.7,71.0,5.0,29.1
53,S19S_0055,4.0,3,40.0,65,38.0,35,30.0,90,7.5,,,20.1
57,S19S_0059,1.0,2,5.1,90,8.5,90,5.2,90,6.5,,,11.0
58,S19S_0060,7.0,3,52.0,10,49.0,35,34.0,35,8.0,161.9,13.31,25.6
59,S19S_0061,1.0,1,55.0,10,42.0,65,78.0,35,7.5,78.0,7.56,16.9
60,S19S_0062,5.0,3,40.0,10,42.0,10,36.0,10,7.5,,,14.2
62,S19S_0064,4.0,3,35.0,90,11.0,65,34.0,65,7.7,80.7,,23.5
63,S19S_0065,5.0,3,39.37,90,40.64,90,50.8,90,5.0,,,22.1
66,S19S_0068,3.0,3,2.0,90,3.0,90,2.0,90,6.0,,,14.7
67,S19S_0069,1.0,3,5.5,65,4.0,65,5.0,65,6.5,,,15.0
68,S19S_0070,1.0,3,4.0,65,6.0,65,5.5,65,6.5,,,16.0
69,S19S_0071,1.0,3,8.2,65,10.0,90,9.0,90,7.0,,,11.5
70,S19S_0072,1.0,2,16.0,65,21.0,65,19.0,65,6.0,87.4,8.19,18.5
71,S19S_0073,1.0,1,7.0,90,32.0,90,32.0,90,6.5,66.2,6.41,16.9
75,S19S_0077,6.0,3,29.0,10,23.0,10,16.0,10,6.5,,,18.0
76,S19S_0078,2.0,2,30.0,35,30.0,35,10.0,65,7.0,,,19.0
77,S19S_0079,6.0,2,19.0,10,46.0,10,48.0,10,7.75,,,19.0
79,S19S_0081,4.0,3,23.5,10,14.5,10,19.5,10,6.5,,,27.0
80,S19S_0082,3.0,1,60.0,10,40.0,10,40.0,10,7.0,,,31.4
81,S19S_0083,5.0,2,5.5,65,6.0,90,7.0,35,7.5,,,25.4
82,S19S_0084,1.0,3,12.0,90,16.0,90,10.0,90,6.0,,,17.2
83,S19S_0085,5.0,3,6.75,10,8.25,35,8.5,65,7.0,,,
85,S19S_0087,2.0,3,2.0,35,2.0,90,3.0,65,7.25,,,17.1
86,S19S_0089,1.0,3,10.0,10,10.0,10,15.0,10,7.0,118.6,9.95,20.8
93,S19S_0097,5.0,1,22.0,10,25.0,10,7.5,10,8.49,126.0,,16.9
94,S19S_0098,3.0,3,7.5,10,3.5,10,5.0,10,8.31,102.1,,10.34
95,S19S_0099,7.0,3,20.47,10,19.2,10,23.37,10,7.5,,,27.3
