,Compound_Name,EPA-ACC_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
0,AminoSugar,lat.old,-0.16874978809688768,-0.16874978809688768,0.222537881777501,0.222537881777501
1,Carb,lat.old,-0.19942883000698608,-0.19942883000698608,0.1482406051345047,0.1482406051345047
2,ConcHC,lat.old,-0.3167971509944247,-0.3167971509944247,0.019597268823267996,0.019597268823267996
3,Lignin,lat.old,-0.24556830585310402,-0.24556830585310402,0.0734789713129814,0.0734789713129814
4,Lipid,lat.old,-0.17325519857227448,-0.17325519857227448,0.2102529482634713,0.2102529482634713
5,Other,lat.old,0.04570457556393977,0.04570457556393977,0.7427819784414944,0.7427819784414944
6,Protein,lat.old,-0.18225383704742823,-0.18225383704742823,0.18715994615524037,0.18715994615524037
7,Tannin,lat.old,-0.19678901167597496,-0.19678901167597496,0.15379614606094305,0.15379614606094305
8,UnsatHC,lat.old,-0.37330618465793136,-0.37330618465793136,0.005430411745423297,0.005430411745423297
9,SumAllCompounds,lat.old,-0.27506362326109085,-0.27506362326109085,0.044113113285123406,0.044113113285123406
10,AminoSugar,long.old,0.32613613860409874,0.32613613860409874,0.016095902585079917,0.016095902585079917
11,Carb,long.old,0.29705343638404935,0.29705343638404935,0.029160492915390208,0.029160492915390208
12,ConcHC,long.old,0.16890099388711757,0.16890099388711757,0.22211766830819873,0.22211766830819873
13,Lignin,long.old,0.2761456153768806,0.2761456153768806,0.04325335717982876,0.04325335717982876
14,Lipid,long.old,0.21429360319708235,0.21429360319708235,0.11970321591890569,0.11970321591890569
15,Other,long.old,-0.1384838279225245,-0.1384838279225245,0.31796200438152744,0.31796200438152744
16,Protein,long.old,0.3193469905162969,0.3193469905162969,0.01858257163062669,0.01858257163062669
17,Tannin,long.old,0.0682569083142623,0.0682569083142623,0.6238367778535383,0.6238367778535383
18,UnsatHC,long.old,-0.14307232966560376,-0.14307232966560376,0.30203305509480405,0.30203305509480405
19,SumAllCompounds,long.old,0.27074639858059213,0.27074639858059213,0.047684109637431166,0.047684109637431166
20,AminoSugar,DRNAREA,0.13783381225934355,0.13783381225934355,0.32026095925235226,0.32026095925235226
21,Carb,DRNAREA,0.1035103281288548,0.1035103281288548,0.45636330825927063,0.45636330825927063
22,ConcHC,DRNAREA,0.09351207279034385,0.09351207279034385,0.5012223895182077,0.5012223895182077
23,Lignin,DRNAREA,0.07659644417325416,0.07659644417325416,0.5819723646605671,0.5819723646605671
24,Lipid,DRNAREA,0.18870299147243752,0.18870299147243752,0.17176810508506118,0.17176810508506118
25,Other,DRNAREA,-0.07717242191244021,-0.07717242191244021,0.5791286321986457,0.5791286321986457
26,Protein,DRNAREA,0.18745888408771247,0.18745888408771247,0.1746633281063409,0.1746633281063409
27,Tannin,DRNAREA,0.12224839351631177,0.12224839351631177,0.37851924891795885,0.37851924891795885
28,UnsatHC,DRNAREA,-0.027935046721091865,-0.027935046721091865,0.8410773680666364,0.8410773680666364
29,SumAllCompounds,DRNAREA,0.13150465770298012,0.13150465770298012,0.3431950235033974,0.3431950235033974
30,AminoSugar,PctAg2006Slp10Cat,0.1849969365738057,0.1849969365738057,0.18049657061580326,0.18049657061580326
31,Carb,PctAg2006Slp10Cat,0.19088334495052073,0.19088334495052073,0.16677847154568018,0.16677847154568018
32,ConcHC,PctAg2006Slp10Cat,-0.14995137954244098,-0.14995137954244098,0.27913567714809717,0.27913567714809717
