,Percent forest cover loss - PctFrstLoss,Mean hydraulic conductivity in catchment -- HydrlCondCat,Mean imperviousness of anthropogenic surfaces within catchment - PctImp,Precipitation gradient - SN,Open water land cover (in a catchment) - PctOw,Developed catchment area (Land use) - PctUrbOp,Woody wetland land cover -- PctWdWet,PctNonAgIntrodManagVegCat,30 year mean normal temperature - Tmean,30 year max normal temperature - Tmax,Mean annual stream temperature -- MAST,Mean summer stream temperature - MSST
AminoSugar,33.554719384159675,57.1418664302335,60.555671355334795,20.29458826505853,73.39777247809319,49.000980990923324,57.82321497233607,47.353377886796714,27.720562220842375,15.314712848872306,10.633209986221118,2.3125947748344706
Carb,27.498810993446934,15.454980783212488,16.902932700390554,1.2262878750498354,25.847843142267983,12.225376598155417,15.2285445700485,10.384830226290449,2.7455619537138958,0.8857658888959135,0.47645287360076444,0.018622374057188768
ConcHC,234.22636623139286,195.97311685848294,195.94304156841983,174.11466351678393,212.85376092022747,194.0854789549758,172.830881885434,186.54237172472884,127.73305267777135,66.0366159640472,53.016496242055496,48.71343591018469
Lignin,508.1302716116861,1138.6522354337837,1150.690001267667,794.7053697263032,1199.617493573642,1083.5100720657963,1155.8737474725574,1102.3996926608295,967.6085912611264,731.7035515545193,628.9706984883625,434.9402686874854
Lipid,19.49066471737338,33.24393114361007,35.542221329238124,13.116485518327304,39.9151765661414,25.27311209256349,35.40145056328443,25.124904010286116,15.375664047634736,8.606795297371626,7.074295799716992,2.2045502595016777
Other,4.866516499766242,6.298691421361583,3.9948798558793657,3.871039680248199,6.047074714824118,5.40496460763264,6.041647070007197,5.917499298508126,5.296309393743394,7.115529907909846,4.706542690532022,10.234347792701064
Protein,257.47728546082743,197.10794194132487,208.38260135953544,76.62725454073558,235.1501655483776,167.30628156898055,204.02486527115374,159.84886299521753,114.74886193529846,72.16129045444944,54.75536090583623,16.414246369231577
Tannin,136.96877371229445,278.1738941307723,276.3981826239391,306.37960556873503,298.3346046157931,274.9838754471684,273.7680196139697,271.56200295343115,230.0603299918014,154.66357107596303,124.25078406810881,149.61923077465386
UnsatHC,13.267840234487869,8.63377245698535,4.951922022131529,9.363885321665142,8.281986604543448,7.973755148843722,9.197336647408516,7.420353977218999,6.2909487548839715,2.8507318845777547,3.8703959143824904,11.471555891921929
SumAllCompounds,655.0147496885021,1931.2544000143164,1960.862414801118,1349.1531869226085,2100.1625156701916,1819.146470111724,1934.191310069642,1852.4990608285675,1471.6076621457992,996.7226870965158,829.9414547922825,559.4584509881348
