,Percent forest cover loss - PctFrstLoss,Mean hydraulic conductivity in catchment -- HydrlCondCat,Mean imperviousness of anthropogenic surfaces within catchment - PctImp,Precipitation gradient - SN,Open water land cover (in a catchment) - PctOw,Developed catchment area (Land use) - PctUrbOp,Woody wetland land cover -- PctWdWet,PctNonAgIntrodManagVegCat,30 year mean normal temperature - Tmean,30 year max normal temperature - Tmax,Mean annual stream temperature -- MAST,Mean summer stream temperature - MSST
AminoSugar,0.2944275829810823,0.0,0.0,0.05990323565281708,0.0005057437440394441,1.612740975875937e-06,2.581263328571559e-05,1.0117077950955178e-06,0.0069719035486655034,0.17247681595207465,0.09162864251775771,0.3146649834860089
Carb,0.018752831624046618,6.963216026001362e-08,9.587272087330234e-09,0.4882910927372328,0.0009318658987009787,0.008004218243228944,0.008199211636310988,0.03167785326165018,0.29808589744962966,0.549244024234071,0.4896292092440948,0.713041561709153
ConcHC,0.03267197320030424,0.0,0.0,0.011900777032820997,0.004560680296564978,5.093703268066463e-07,0.00021804398067937214,2.859595049642394e-08,0.0006659325563524998,0.10001544073433655,0.042147696597689466,0.20486825561537558
Lignin,0.43162211581289744,0.0,0.0,1.5783476636777038e-07,0.0031699935378677324,5.801747970934912e-09,1.0909527763391935e-06,7.349676423018536e-14,1.6338042030383804e-12,0.0002209296763178159,5.110928012364013e-06,0.0020632958856048322
Lipid,0.31950401868360023,0.0,0.0,0.0697651730523694,0.0025993523714844535,2.1822167653562374e-05,3.057886011870181e-05,3.98883611110179e-05,0.010336110296362833,0.19270992245468999,0.11008567504884326,0.3395184663984907
Other,0.21457280536197887,0.0,1.453435505283096e-08,0.03677250097771689,0.02633233959601977,0.00018335985943540578,2.519179028714902e-06,8.148084185144455e-08,0.001452497033170852,0.14415973407771854,0.08016919606873296,0.22270332915146795
Protein,0.017320413133257606,0.0,0.0,0.01715069565151328,0.0012189135093589876,2.5720505902881996e-07,7.93808368038107e-06,7.72953994143677e-08,0.0005720331722045557,0.08909112147074016,0.03454056254143456,0.19227716170678377
Tannin,0.3903672169590222,0.0,0.0,0.0008499735997182789,0.0035686812422515146,1.5215521131928256e-07,9.545772636343486e-06,1.2101919466545041e-10,5.340653430829789e-06,0.032937065945001454,0.008801909732730762,0.08941657719601626
UnsatHC,0.005213591795091732,0.0,4.040114168990527e-06,0.05419767593533087,0.033216815330656235,0.00037445418206050185,2.0252558277089605e-05,9.020508340285005e-09,0.00953446116149359,0.2363596212272192,0.14664270364589682,0.31221753875640856
SumAllCompounds,0.5633502587035961,0.0,0.0,2.0581844964784324e-05,0.002252983307581946,1.07204347621348e-08,2.2767631282505363e-06,1.1364242880063102e-12,3.836670758872174e-09,0.0028022182856757283,0.0001731979056900368,0.01523641734473058
