,Percent forest cover loss - PctFrstLoss,Mean hydraulic conductivity in catchment -- HydrlCondCat,Mean imperviousness of anthropogenic surfaces within catchment - PctImp,Precipitation gradient - SN,Open water land cover (in a catchment) - PctOw,Developed catchment area (Land use) - PctUrbOp,Woody wetland land cover -- PctWdWet,PctNonAgIntrodManagVegCat,30 year mean normal temperature - Tmean,30 year max normal temperature - Tmax,Mean annual stream temperature -- MAST,Mean summer stream temperature - MSST
AminoSugar,6.289204607562798e-08,-0.00329651567313706,0.07756828086792102,0.18134828480758375,0.031532578772208185,0.14038850163604627,0.05546335106050264,0.07964118026947249,0.31624914777268204,0.46595904591941667,0.6901729378908614,1.0855659816521004
Carb,0.2512415095534701,-0.02484532177718071,0.13632133255397208,0.4401571529477856,0.0029905492259250693,0.23072731455606516,0.12887185561593723,0.16352692427350066,0.7490037224471319,1.0127304730473137,1.4223981477170966,2.266019807450847
ConcHC,0.07497431890477442,0.01353062977308223,0.020721010879988847,0.01934916379478202,0.03867979912028509,0.016776195239350707,0.091500974260395,0.01681282717061152,0.1838678927517384,0.38129560528516787,0.5332205409612496,0.4702160938603825
Lignin,3.979846026447203e-07,0.003910238781825286,0.021505849370889903,0.06285692623321622,0.02205502897420817,0.04101558491972731,0.015157302026634852,0.016228340704825844,0.0707465718410187,0.15576059955374472,0.24378354177392061,0.3265590737388471
Lipid,1.2269757296230197e-07,-0.0188329034284118,0.06957862845081839,0.1654176372480896,0.017785585440580884,0.20568887524022522,0.0023902612491234,0.10582682028729679,0.34241631709830833,0.4825900512821017,0.6409963837444483,0.9239616810460931
Other,1.3962955459588848e-07,-0.014782094525493998,1.0661420259081313e-08,0.08764923521407425,0.06875176371344091,0.07242543033806295,1.018899878085403e-08,6.758751047249158e-08,0.08160774233625202,-0.0393005317729144,0.12514870970732378,-0.16201746210363716
Protein,0.09644179320481742,-0.00905914001478344,0.06328306170523966,0.16648410631300892,0.02181868512558469,0.14007081322931966,0.02301425606819682,0.08449651663019386,0.2397631895265378,0.3577479055121541,0.5290810528788629,0.8445272189252829
Tannin,3.207930010142885e-07,0.013760717286054259,0.017066907905653742,-0.01866060423431209,0.034176897367540836,0.006262989314608303,0.03004043188093809,4.5503605057696623e-07,0.07993953652150577,0.20472608287683816,0.3283590073101018,0.20822113868250428
UnsatHC,0.19425543816767848,0.0006837183980337679,9.643090790254042e-08,-0.014447506545557723,0.09549296404128017,1.070308621926541e-05,1.6510529308530818e-07,2.167216084283187e-08,0.13884833000129912,0.3909521526897377,0.33008487900212863,-0.09723669037988728
SumAllCompounds,3.9984477963138374e-07,0.004091826807287862,0.02761962561395264,0.0626724298883482,0.025664251448449745,0.05114428223323948,0.026526970611442723,0.019743653455560943,0.11851086866775269,0.23318253628523516,0.3467353338074341,0.4202971640685691
