,Compound_Name,EPA-ACW_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
0,AminoSugar,lat.old,-0.16874978809688768,-0.16874978809688768,0.222537881777501,0.222537881777501
1,Carb,lat.old,-0.19942883000698608,-0.19942883000698608,0.1482406051345047,0.1482406051345047
2,ConcHC,lat.old,-0.3167971509944247,-0.3167971509944247,0.019597268823267996,0.019597268823267996
3,Lignin,lat.old,-0.24556830585310402,-0.24556830585310402,0.0734789713129814,0.0734789713129814
4,Lipid,lat.old,-0.17325519857227448,-0.17325519857227448,0.2102529482634713,0.2102529482634713
5,Other,lat.old,0.04570457556393977,0.04570457556393977,0.7427819784414944,0.7427819784414944
6,Protein,lat.old,-0.18225383704742823,-0.18225383704742823,0.18715994615524037,0.18715994615524037
7,Tannin,lat.old,-0.19678901167597496,-0.19678901167597496,0.15379614606094305,0.15379614606094305
8,UnsatHC,lat.old,-0.37330618465793136,-0.37330618465793136,0.005430411745423297,0.005430411745423297
9,SumAllCompounds,lat.old,-0.27506362326109085,-0.27506362326109085,0.044113113285123406,0.044113113285123406
10,AminoSugar,long.old,0.32613613860409874,0.32613613860409874,0.016095902585079917,0.016095902585079917
11,Carb,long.old,0.29705343638404935,0.29705343638404935,0.029160492915390208,0.029160492915390208
12,ConcHC,long.old,0.16890099388711757,0.16890099388711757,0.22211766830819873,0.22211766830819873
13,Lignin,long.old,0.2761456153768806,0.2761456153768806,0.04325335717982876,0.04325335717982876
14,Lipid,long.old,0.21429360319708235,0.21429360319708235,0.11970321591890569,0.11970321591890569
15,Other,long.old,-0.1384838279225245,-0.1384838279225245,0.31796200438152744,0.31796200438152744
16,Protein,long.old,0.3193469905162969,0.3193469905162969,0.01858257163062669,0.01858257163062669
17,Tannin,long.old,0.0682569083142623,0.0682569083142623,0.6238367778535383,0.6238367778535383
18,UnsatHC,long.old,-0.14307232966560376,-0.14307232966560376,0.30203305509480405,0.30203305509480405
19,SumAllCompounds,long.old,0.27074639858059213,0.27074639858059213,0.047684109637431166,0.047684109637431166
20,AminoSugar,DRNAREA,0.23606648866010127,0.23606648866010127,0.08570211963002991,0.08570211963002991
21,Carb,DRNAREA,0.12420500284802509,0.12420500284802509,0.37087692433626795,0.37087692433626795
22,ConcHC,DRNAREA,0.22047251787882924,0.22047251787882924,0.1091537951191014,0.1091537951191014
23,Lignin,DRNAREA,0.263138731572592,0.263138731572592,0.054548941162023606,0.054548941162023606
24,Lipid,DRNAREA,0.13900146838443794,0.13900146838443794,0.31613875818365483,0.31613875818365483
25,Other,DRNAREA,0.03747839870798681,0.03747839870798681,0.7878841892689556,0.7878841892689556
26,Protein,DRNAREA,0.19049357932800248,0.19049357932800248,0.16766257784542632,0.16766257784542632
27,Tannin,DRNAREA,0.27712238207761763,0.27712238207761763,0.04248906395492458,0.04248906395492458
28,UnsatHC,DRNAREA,0.26068215132194633,0.26068215132194633,0.05692928454181783,0.05692928454181783
29,SumAllCompounds,DRNAREA,0.2824357989783449,0.2824357989783449,0.03852325816165441,0.03852325816165441
30,AminoSugar,PctAg2006Slp10Ws,0.2156874934309274,0.2156874934309274,0.11725821200658908,0.11725821200658908
31,Carb,PctAg2006Slp10Ws,0.2516440617611208,0.2516440617611208,0.06641809449510783,0.06641809449510783
32,ConcHC,PctAg2006Slp10Ws,-0.0926206461949035,-0.0926206461949035,0.5053290620146447,0.5053290620146447
