,DRNAREA,DamDensWs,DamNIDStorM3Ws,DamNrmStorM3Ws,NPDESDensWs,SuperfundDensWs,TRIDensWs,PctFrstLoss2003Ws,PctFrstLoss2009Ws,PctImp2006Ws,PctNonCarbResidWs,MineDensWs,NABD_DensWs,NABD_NIDStorM3Ws,NABD_NrmStorM3Ws,PctOw2006Ws,PctUrbHi2006Ws,PctUrbHi2011Ws,PctUrbLo2011Ws,PctUrbMd2011Ws,PctUrbOp2011Ws,PctNonAgIntrodManagVegWs,Tmax8110Ws,Tmean8110Ws
AminoSugar,3.511395618716051e-10,0.7883631968004277,0.3335870946837356,0.34225801042921655,0.9062844678382573,0.8948491309080138,0.9411600031443192,0.2205660562858136,4.027579683540949e-06,0.0,0.2239850863382986,0.536878864753497,0.8783802869467283,0.6279719365221696,0.5654762036818037,0.0003437819940175224,0.012545988592627344,0.0039906397881908084,1.6209256159527285e-14,6.9400041269318535e-12,2.416906896840487e-09,1.7766229709614834e-07,0.13961396206173537,0.004515649454015058
Carb,0.0019944089295378387,0.4802162567394892,0.4113165536673593,0.5177603404732984,0.35297581288904056,0.39920306963068697,0.04896245089029305,0.24276335675255,0.15807269209271624,3.973867901407857e-10,0.3426588747292636,0.6657777473196349,0.4872952011477134,0.7703975585059664,0.7102410194851125,8.11701480989413e-05,1.9267102802089653e-08,7.454569184162096e-09,1.8925679978742949e-07,2.332589033038346e-08,0.003826693741782128,0.07723325283938975,0.529577714213552,0.29400653822228273
ConcHC,5.46451772720502e-13,0.9850074456184452,0.4721772278172942,0.4623961459093322,0.9758670486500562,0.9629060523346351,0.9834343381210102,0.00034525982772315444,0.024813692355981187,0.0,0.3244691002497906,0.9567259212170518,0.9369406209109663,0.6399480875672607,0.6009782202101697,0.024949539954298272,0.2959455319668203,0.044143135570902325,1.0170086994776284e-11,4.250729701560374e-08,3.8741712060641476e-09,3.390709935047198e-11,0.07502250294101231,0.0003333221383265972
Lignin,0.0,0.9946205699877146,0.3967755199172931,0.3869815901438831,0.997446157613995,0.9956131810325433,0.9967897346381718,0.9190507386500275,0.06208742687898883,0.0,0.1583346719849814,0.9931550805133835,0.9958000600174597,0.6356172170339813,0.5914332705401208,0.04169769940042256,0.22266135290847267,1.3130084823176347e-05,2.402522625288839e-13,2.7560769222390036e-09,1.5831780331154732e-13,0.0,6.732706647083475e-05,2.375877272697835e-13
Lipid,1.2755028144795233e-09,0.5546051222357842,0.3871956837035322,0.3542910962490389,0.6292054080202587,0.5666152287384163,0.4176256376335137,0.0007670273575017816,3.0660635570445294e-06,0.0,0.25625082263753995,0.3256396833908144,0.5483495855029734,0.6461402361365134,0.5838823169430052,7.2907952366474404e-06,3.672764603557255e-08,1.1514399211876025e-08,2.211786309658237e-11,3.659463843064259e-10,7.035639648655945e-08,2.4558099116500642e-06,0.15818978749174595,0.007057771569728866
Other,1.0056622201659593e-11,0.5236727734520894,0.43338780986117764,0.5090223650900998,0.551328629166272,0.5778513927115769,0.34646285213105443,0.005562115236717569,0.00022891894206988894,1.604740784699743e-10,0.22736179082486396,0.6906858297606444,0.13352663032943846,0.753264054152806,0.6982002606019773,0.007606956475709303,0.06180205724488985,0.0004336388490084886,1.6058674257024563e-07,1.122006097142858e-05,1.3924428632350327e-07,4.374487883040956e-09,0.11935055911687975,0.0011211841141041123
Protein,2.3936408410918375e-13,0.9786201365370006,0.36416105366333484,0.3465674445974094,0.9825763668285474,0.9173155569454368,0.9860759079577621,0.6180407897804221,0.008454269804759829,0.0,0.2215252661475271,0.9169464107505776,0.9270834593520179,0.6290864349610321,0.5726991013642997,0.011421573488562764,0.07083842776659988,1.2707639607256738e-08,2.7533531010703882e-14,1.3982814905943997e-11,6.823452913806705e-11,1.3698475687107248e-09,0.064204378494638,0.00029966586775320714
Tannin,0.0,0.9765879006097224,0.4474067753583135,0.42776121253566446,0.9919601075297779,0.9811402282130974,0.9809050633020782,0.00010936163468588944,0.0005287215104210485,0.00011930715134234049,0.20181519090935307,0.9751354288837106,0.978746725372432,0.6321845899335954,0.5882840596202548,0.04027170443047168,0.25920474152876727,0.14988172504292563,6.680433983774492e-12,0.030737011657527402,2.46421327787516e-10,3.1086244689504383e-15,0.020868562714954297,1.7370046634379577e-06
UnsatHC,4.583255330814495e-09,0.5206479119695149,0.6226219918128897,0.5985228873131243,0.10225964784338504,0.5564907429010235,0.4228653573401324,0.0013588227660232821,1.2256163909318829e-05,0.00010139403170050798,0.4904117392358325,0.7000286615249309,0.537870171451674,0.6949634291518048,0.6566705734088767,0.0002483237080308509,0.23552875509421467,0.27175631256706545,3.1000864195718236e-06,0.025565889445780643,9.67232848037014e-07,5.097033906054094e-12,0.19996259748290712,0.0070361871843411805
SumAllCompounds,0.0,0.9970615309655557,0.3813395191390856,0.34429501981587074,0.9984750751003817,0.9977067640456068,0.9982631791789531,0.000495358807405033,0.1769469670673116,0.0,0.17993897411726456,0.996296370160729,0.9978275884705512,0.6285841225246851,0.5813880403046747,0.13994616518105274,0.09131178535367623,0.058152484563822604,1.0613732115416497e-13,9.656362376375682e-10,1.134869975771835e-12,0.0,0.001185258055936611,7.59671214822788e-10
