,DRNAREA,DamDensWs,DamNIDStorM3Ws,DamNrmStorM3Ws,NPDESDensWs,SuperfundDensWs,TRIDensWs,PctFrstLoss2003Ws,PctFrstLoss2009Ws,PctImp2006Ws,PctNonCarbResidWs,MineDensWs,NABD_DensWs,NABD_NIDStorM3Ws,NABD_NrmStorM3Ws,PctOw2006Ws,PctUrbHi2006Ws,PctUrbHi2011Ws,PctUrbLo2011Ws,PctUrbMd2011Ws,PctUrbOp2011Ws,PctNonAgIntrodManagVegWs,Tmax8110Ws,Tmean8110Ws
AminoSugar,0.018056199610295254,0.9999999724703166,0.9999995722393336,0.9999965388036871,0.9999999745244046,0.9999999710203447,0.9999999748461954,0.9999999077010313,0.9999998877028546,2.471761638478398e-06,0.6605881761797217,0.0,0.999999958965957,0.6979750198830954,0.8408296582903911,0.9999998428975752,0.99999967436579,0.9999994540602875,0.0068973251158153115,0.04483026624844633,0.005282703211519024,0.002954906247826683,0.03710196025099011,0.022332188030390165
Carb,0.12325945871651789,0.8454389441081838,0.9999996575204202,0.9999992261533746,0.999999965821255,0.9999999310755017,0.9999999169993083,0.9999999767095424,0.9999999469130192,2.5094635240918706e-05,0.8186950529871342,0.5493012663402808,0.9999999657924423,0.5839912155986009,0.75075543026075,0.38489559873627543,0.032606293659100505,0.020616559640738386,0.0018774315008012188,0.017053826390533988,0.005423850892177562,0.0068000984683596055,0.042728868742889725,0.03384456374874589
ConcHC,0.3776170983430678,0.9999999841763094,0.8832019151374029,0.84768111192446,0.9999999962911632,0.9999999945591402,0.9999999876234278,0.6736772381114788,0.9999998514746,0.14619630223987756,0.5301266057972094,0.9999999727176445,0.9999999934477819,0.8847428094698637,0.8602679812439971,0.9999996138136462,0.9999995048829133,0.9999998715623932,0.6230151495914291,0.5389133233836136,0.2936571638108436,0.33690862730033766,0.05050184458442741,0.0998914040576433
Lignin,0.10877191277295362,0.9999999988180122,0.9999963996208299,0.9999895728662733,0.9999999929720276,0.9999999954304903,0.999999998502459,0.9999999934718939,0.9999997099260562,0.038819346752670514,0.807558311305848,0.99999999496703,0.9999999947854308,0.8880785173306531,0.9255749749640851,0.9999999640174009,0.9999999337482217,0.6019427734203071,0.4077482770942715,0.4978483312062103,0.3576155842758375,0.16457886189685,0.06171381034478207,0.07436855828669398
Lipid,0.08444495672250962,0.0,0.9999958433539717,0.9999989056642375,0.9999999807380708,0.9999999581184393,0.9999999451522532,0.5076090593766305,0.9999997785079622,1.8036565993195808e-05,0.6140393323684141,0.9999999067987946,0.0,0.7882703214572007,0.99993097206482,0.4476149127377256,0.08199205615459415,0.05665587887763013,0.005360111035221049,0.03636316304809628,0.002611371335989654,0.011136111275954708,0.037632278888314996,0.01722400534937285
Other,0.5487299665934122,0.8476466251799293,0.9999995951711784,0.999998518731632,0.8650929816353712,0.6515448586960546,0.9002109643454697,0.6448716921325075,0.37673192761484664,0.9999998245375554,0.8079237765722964,0.6976718891713993,0.9999998903029133,0.7092510182137217,0.8584972222579943,0.9999994688031499,0.9999998543481528,0.4243815516358449,0.43327131642644123,0.3948262911308351,0.4465488001111968,0.805132142189598,0.604989349366178,0.30251665661983607
Protein,0.054089223950568366,0.9999999906573969,0.9999905398028484,0.9999945911669033,0.9999999877942887,0.9999999954600773,0.9999999896382967,0.9999999450113655,0.9999993060690864,2.441352586091128e-06,0.6929962398974863,0.9999999864952966,0.0,0.7960758701287063,0.9241206865128437,0.9999998700153374,0.9999991730829223,0.12991185795705018,0.00949035004450316,0.05835456554073626,0.005970657625044229,0.0018131086171118138,0.03486270654883694,0.01712132563140778
Tannin,0.17995309128027892,0.9999999966674682,0.8892484372620617,0.8807300141412946,0.9999999780576299,0.9999999882519288,0.999999997204015,0.6372405423826502,0.9999998732885189,0.9999988174589993,0.6329296871565355,0.9999999860223872,0.9999999932638783,0.8341874136447731,0.8323300648018885,0.9999990567220665,0.9999997643070568,0.999999087713231,0.8354578709356044,0.9999988440281171,0.46956875047527236,0.8798063694927458,0.19486409651016756,0.3472058583966753
UnsatHC,0.7641864993645036,0.5302152200732073,0.7423988426528281,0.7285833053876689,0.0,0.7762154937158128,0.8555823882954612,0.4215840702449505,0.14057827621554253,0.9999994396850493,0.47247765917665996,0.859869329449803,0.6687956288131809,0.8029716883688058,0.7804668598961237,0.4986024370044533,0.0,0.9999999266544068,0.6778322375200827,0.9999996494511227,0.9247131397393242,0.9999994032989241,0.14929641272021343,0.2835484373144743
SumAllCompounds,0.06729601589155232,0.999999998577342,0.9999913526232178,0.9999990102409202,0.9999999939296458,0.9999999946690237,0.9999999815053806,0.999999909752729,0.9999995515586255,0.010280558166724685,0.7165932622074473,0.9999999973926743,0.9999999842443961,0.8519019812015947,0.8980514100828616,0.9999997084938452,0.9999987831707038,0.9999978931688109,0.29254218528466414,0.3848079996329119,0.1895786011725331,0.10883831971559488,0.024103885089929555,0.02988702102652785
