,DRNAREA,DamDensWs,DamNIDStorM3Ws,DamNrmStorM3Ws,NPDESDensWs,SuperfundDensWs,TRIDensWs,PctFrstLoss2003Ws,PctFrstLoss2009Ws,PctImp2006Ws,PctNonCarbResidWs,MineDensWs,NABD_DensWs,NABD_NIDStorM3Ws,NABD_NrmStorM3Ws,PctOw2006Ws,PctUrbHi2006Ws,PctUrbHi2011Ws,PctUrbLo2011Ws,PctUrbMd2011Ws,PctUrbOp2011Ws,PctNonAgIntrodManagVegWs,Tmax8110Ws,Tmean8110Ws
AminoSugar,0.049336960990391705,1.125826361626845e-08,4.949155615405749e-08,4.647165681395355e-07,3.9424531576858974e-08,4.370281746110163e-08,8.683310443931974e-08,2.5829735609753977e-08,3.1385493384464213e-09,0.13759738205424457,0.0930157875439392,7.497660981916438e-10,6.537207054553652e-08,0.07364372206947586,0.03492040254660771,1.5777993616590062e-08,3.261599356950335e-08,6.64380001446729e-08,0.1275461698737594,0.10356957214414518,0.20018197705321453,0.14443230230292448,0.5010443863256183,0.32976710977890084
Carb,0.07103259966516286,0.062468673512188315,5.2402222405509545e-08,1.5868707558529358e-07,2.738554823285888e-09,1.4445783587527175e-08,3.0964877215976478e-09,3.223859392566005e-09,7.090237948920556e-09,0.25640873140067016,0.06311480159679218,0.22728531660205503,5.406265349728702e-09,0.16678435922961618,0.08325775358638841,0.0966678792511847,0.16954558984093765,0.1859412806817778,0.23202858323013842,0.16953390777457283,0.4183958575197113,0.39331586685960845,1.12110334321894,0.8103562852954435
ConcHC,0.016034039213340137,2.2514083846170076e-07,0.019318915495375073,0.02600064935466198,2.3178934210598388e-08,2.3412614584413038e-08,1.690084150867686e-07,0.03708650490673691,1.237460463033002e-08,0.045845014764998845,0.16110198573282977,9.670464750591558e-08,1.1140764385577958e-08,0.029077751717731738,0.03366858768969047,7.141735861423784e-08,1.7396970434284352e-07,1.2538165699178667e-08,0.02952779560477012,0.039727475106023764,0.08111221925082897,0.0347497995264105,0.3893850918541849,0.18538595682625822
Lignin,0.012512221570893017,4.070409721514888e-08,5.106178966698933e-07,1.536458369146538e-06,4.2585635321450885e-07,1.6332056519777716e-07,1.1117607867605729e-07,1.0153154551927282e-08,5.3254757866833694e-08,0.039287787016675006,0.045242422805360366,1.0886140133952164e-07,2.667297675569664e-07,0.027884740385288116,0.017574050065719757,1.836019760503271e-09,4.704758415582088e-09,0.037388256764731446,0.04403439583940199,0.039250825623414726,0.05196939798038245,0.030526934469260556,0.15765084057572873,0.08086097919872225
Lipid,0.03837886729511256,1.2979247892213398e-09,5.788172571067263e-07,1.4835959729935654e-07,4.853334898732195e-09,9.681831448925976e-09,1.525801376842586e-08,0.06758900410403798,7.569504368794087e-09,0.1372287766411201,0.11371699777512959,1.0549347510280398e-08,1.7794757117678288e-09,0.05424565283245984,1.6122405011130667e-05,0.06597978846320987,0.12601780658320094,0.13809853251444873,0.1583217838729952,0.12518638168669044,0.24240139105567904,0.13913230950889932,0.5228831476566537,0.36295649674996483
Other,-0.013037905801878311,0.06841593347234534,6.435744623976462e-08,2.8649146181009487e-07,0.045710882974565194,0.1420718523997307,0.030691261510458177,0.05640975707308046,0.07553176350428661,2.7191859284247026e-09,0.052720073455523306,0.15615988293571353,1.2835104463832625e-08,0.10762572707597343,0.045698912974225174,7.729527362126398e-08,2.2571985237542565e-08,0.08809052764147181,0.06612866994076971,0.07637138849468501,0.06873558701753603,0.010746573039470464,0.11783890863311432,0.12963404220295277
Protein,0.032966985410775515,9.740792700861972e-08,1.2594518272259893e-06,7.322227444375904e-07,1.0755682414173561e-07,4.872973902698389e-09,1.6467486652516945e-07,3.95031297449614e-08,8.697059451180758e-08,0.11597316611857063,0.08347090910553591,2.2747389701801492e-08,9.79396604489578e-10,0.04971624975029919,0.017053561861049837,1.4025168546103078e-08,1.6286800254523197e-07,0.0965222349404516,0.1243554759138074,0.09940762251200021,0.17643665651894164,0.12613857464099001,0.40453134738128177,0.26666373893974515
Tannin,0.01855102242476227,3.127956813350235e-08,0.0173519975409864,0.018929635747946028,4.3033271097124853e-07,9.483224459702363e-08,2.7516599315970588e-08,0.03810113042320792,3.163146316575434e-09,1.4381725582132406e-07,0.09621609452657519,7.870913428444813e-08,7.009582232270802e-08,0.04080561486568883,0.03899845376575039,1.928684164749196e-07,7.299573871970137e-08,2.3504116364498131e-07,0.012402205048737678,2.4170873558464107e-07,0.05155370281572164,0.004217552526034778,0.19675733846252694,0.07635945348155523
UnsatHC,0.007563299388393333,0.24404746387567697,0.06142595162085789,0.06385634373839383,2.690982071332752e-10,0.08075447418889518,0.05323723503950636,0.09241788464293477,0.11481470239667442,5.14246302840111e-08,0.25826607231678256,0.07123845105038412,0.16176348451674255,0.0588963805430557,0.06175176621055528,0.07695529522706367,1.115573184042989e-09,2.344954700435956e-08,0.04122725158112436,7.380201431115816e-08,0.009790569090435403,7.915666436332495e-09,0.39820717813626966,0.16476760607419777
SumAllCompounds,0.017955774174797497,1.0819260648814519e-07,1.1916694257675562e-06,1.2928559024748652e-07,6.198812866755523e-07,3.644836292952024e-07,2.416637434160295e-06,4.7653311794196766e-09,1.169647309931405e-07,0.05251634383408742,0.07023712745175677,1.0946263750141922e-07,1.5457533621296796e-06,0.03609014374159401,0.02338254980110991,8.370081020601378e-08,2.62195858917018e-07,4.066331932376757e-07,0.0543874613212876,0.04918227935390855,0.07732931246984018,0.039545699616149614,0.24114988214284513,0.1277124603249752
