,Compound_Name,HYDROSHEDS_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
0,AminoSugar,NEXT_DOWN,-0.003788699290721575,-0.003788699290721575,0.9783083745479375,0.9783083745479375
1,Carb,NEXT_DOWN,0.11244516820605438,0.11244516820605438,0.41820605059397886,0.41820605059397886
2,ConcHC,NEXT_DOWN,-0.05186073376367035,-0.05186073376367035,0.709572299830336,0.709572299830336
3,Lignin,NEXT_DOWN,0.009146696506535816,0.009146696506535816,0.9476621991181016,0.9476621991181016
4,Lipid,NEXT_DOWN,-0.08626296182134699,-0.08626296182134699,0.5351090056404739,0.5351090056404739
5,Other,NEXT_DOWN,-0.21123671662594887,-0.21123671662594887,0.12520077603137753,0.12520077603137753
6,Protein,NEXT_DOWN,0.01682561467182011,0.01682561467182011,0.9038827917037933,0.9038827917037933
7,Tannin,NEXT_DOWN,-0.14327645261003966,-0.14327645261003966,0.301336638896679,0.301336638896679
8,UnsatHC,NEXT_DOWN,-0.10488015009164217,-0.10488015009164217,0.4503929810478989,0.4503929810478989
9,SumAllCompounds,NEXT_DOWN,-0.03285013180003171,-0.03285013180003171,0.8135775159910482,0.8135775159910482
10,AminoSugar,NEXT_SINK,-0.003788699290721575,-0.003788699290721575,0.9783083745479375,0.9783083745479375
11,Carb,NEXT_SINK,0.11244516820605438,0.11244516820605438,0.41820605059397886,0.41820605059397886
12,ConcHC,NEXT_SINK,-0.05186073376367035,-0.05186073376367035,0.709572299830336,0.709572299830336
13,Lignin,NEXT_SINK,0.009146696506535816,0.009146696506535816,0.9476621991181016,0.9476621991181016
14,Lipid,NEXT_SINK,-0.08626296182134699,-0.08626296182134699,0.5351090056404739,0.5351090056404739
15,Other,NEXT_SINK,-0.21123671662594887,-0.21123671662594887,0.12520077603137753,0.12520077603137753
16,Protein,NEXT_SINK,0.01682561467182011,0.01682561467182011,0.9038827917037933,0.9038827917037933
17,Tannin,NEXT_SINK,-0.14327645261003966,-0.14327645261003966,0.301336638896679,0.301336638896679
18,UnsatHC,NEXT_SINK,-0.10488015009164217,-0.10488015009164217,0.4503929810478989,0.4503929810478989
19,SumAllCompounds,NEXT_SINK,-0.03285013180003171,-0.03285013180003171,0.8135775159910482,0.8135775159910482
20,AminoSugar,MAIN_BAS,0.08042454892866008,0.08042454892866008,0.5631922788598158,0.5631922788598158
21,Carb,MAIN_BAS,0.02395143382699556,0.02395143382699556,0.8635062232865923,0.8635062232865923
22,ConcHC,MAIN_BAS,-0.12977113698395681,-0.12977113698395681,0.3496499091379011,0.3496499091379011
23,Lignin,MAIN_BAS,-0.05630685314877697,-0.05630685314877697,0.6859123032455474,0.6859123032455474
24,Lipid,MAIN_BAS,0.03092074379101149,0.03092074379101149,0.8243477759437331,0.8243477759437331
25,Other,MAIN_BAS,-0.00885746855939424,-0.00885746855939424,0.9493149758813374,0.9493149758813374
26,Protein,MAIN_BAS,0.0186080422300055,0.0186080422300055,0.8937564062431436,0.8937564062431436
27,Tannin,MAIN_BAS,-0.06994638594813282,-0.06994638594813282,0.6152538419355535,0.6152538419355535
28,UnsatHC,MAIN_BAS,-0.09129592242090097,-0.09129592242090097,0.5114634959580739,0.5114634959580739
29,SumAllCompounds,MAIN_BAS,-0.05429130674147181,-0.05429130674147181,0.6966026307765167,0.6966026307765167
30,AminoSugar,DIST_SINK,0.2696079080083126,0.2696079080083126,0.048664119954801695,0.048664119954801695
31,Carb,DIST_SINK,0.14435605282260677,0.14435605282260677,0.2976705925453978,0.2976705925453978
32,ConcHC,DIST_SINK,0.2220678419175021,0.2220678419175021,0.1065496190636732,0.1065496190636732
33,Lignin,DIST_SINK,0.2583178643037384,0.2583178643037384,0.059298738619327704,0.059298738619327704
34,Lipid,DIST_SINK,0.19656660046265717,0.19656660046265717,0.15427113739495724,0.15427113739495724
