,Discharge,InundationExtent,AirTemp,PotentialET,ActualET
AminoSugar,0.0,0.00031203205103680354,0.27228980068448605,0.42913344325697045,0.22751828492049264
Carb,4.114810332689345e-06,0.013038269121840917,0.6839397803203733,0.721222059828873,0.652628621948038
ConcHC,0.0,0.0001692743921479778,0.15702683824183428,0.3477270567597912,0.1320186661707452
Lignin,0.0,3.638829199514859e-06,0.0006201987312208779,0.03194736647092511,0.0004055415186858813
Lipid,0.0,0.00036505235932748903,0.28957739187420084,0.4606500185892619,0.2422239533676045
Other,0.0,0.0009704811418140835,0.16239734426116392,0.43181694118748704,0.19131236233677917
Protein,0.0,7.365271286285946e-05,0.15285858797400254,0.32997556090506786,0.11291019671419478
Tannin,0.0,7.756339980513616e-05,0.05129721431885281,0.23362057843759865,0.04478061709551473
UnsatHC,0.0,0.0008123513553683903,0.20755359448742294,0.5097299551889005,0.2618408904772276
SumAllCompounds,0.0,8.162096215791337e-06,0.006937276234949996,0.08349705779650551,0.0044647051772115365
