,Discharge,InundationExtent,AirTemp,PotentialET,ActualET
AminoSugar,9.571938105223943e-05,0.20097005144151758,0.005481328408513786,0.010313239629234694,0.00022101202695723465
Carb,0.00901590518646711,0.5915238209964713,0.016182055471180012,0.013622935294907768,0.001365794342502058
ConcHC,0.09105135935392683,0.345447941141795,0.06980609118237768,0.02112676394539581,0.10328930543869963
Lignin,0.12781484545261468,0.6363478175712074,0.016646894831961134,0.021326072297467302,0.02507320753966269
Lipid,0.0003415465139038343,0.3090167280615017,0.027681733289360855,0.040353604973214496,0.00016760057277687146
Other,0.4453163233444757,0.5171261534427996,0.9347967234212686,0.5862931427813702,0.09090103506561054
Protein,0.00020317871017150324,0.3189831049159273,0.0069892975355543285,0.01634777528926068,0.00012794483843903137
Tannin,0.1599832109744277,0.3137548147893574,0.29604455154563847,0.12265083768563945,0.25620765516254007
UnsatHC,0.9999995155100678,0.9689782051481279,0.4906043433335501,0.2480884689979781,0.46548884703260773
SumAllCompounds,0.016975367195901425,0.4520833389563048,0.009756388037700958,0.00777492172648464,0.004854717869496206
