,Discharge,InundationExtent,AirTemp,PotentialET,ActualET
AminoSugar,0.11363491908851313,0.11173889886224793,0.5200699762383026,0.7213966782815525,0.7229199925783665
Carb,0.16557550035465063,0.07262843241314598,1.1826252795165435,1.5115456256758741,1.6149631182658202
ConcHC,0.04664766013403025,0.08059304009879079,0.2599857665759238,0.5441211968185764,0.24666364775583235
Lignin,0.021447884284472554,0.03309083640721746,0.13792267043529516,0.2351912395899661,0.13981501306504765
Lipid,0.10886925524783626,0.09147211696564206,0.42337971759215765,0.6124445743606884,0.7612092253453449
Other,0.022941613378565297,0.0649877894286479,-0.011905504643231162,-0.15232954997207948,0.29534169232951624
Protein,0.0891170649082099,0.0801944049691005,0.3878152170816553,0.5471665364173723,0.5744554178792334
Tannin,0.031159385198096478,0.08128184830453135,0.10767946016545962,0.28406264698957717,0.12799688751229685
UnsatHC,1.2970445360554558e-08,0.004095598255591591,-0.11255925670265877,0.3829752543783243,0.14841246513474404
SumAllCompounds,0.038816813740306405,0.0539383651672652,0.19317728267154233,0.34184356148504524,0.22558680853080856
