,Compound_Name,StreamStats_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
0,AminoSugar,long,0.3261361547620247,0.2758371172634051,0.016095897022882923,0.043497078611213436
1,Carb,long,0.2970538753585799,0.3014081927887782,0.029160243285722223,0.026770367951098082
2,ConcHC,long,0.16889576153646277,0.14920707630359512,0.22213220022481373,0.2815562772731669
3,Lignin,long,0.2761455476033676,0.21838488990661706,0.04325341059937285,0.11263506501327747
4,Lipid,long,0.21429532678178007,0.1307449040120106,0.11970016885026334,0.3460148659558364
5,Other,long,-0.1384865208665146,-0.10573720496165366,0.31795250195316577,0.4466794903225576
6,Protein,long,0.3193480649094418,0.23817329387253824,0.018582153672297826,0.0828629703163127
7,Tannin,long,0.06825232184780414,0.10093771448973834,0.6238601464608331,0.4676917925569849
8,UnsatHC,long,-0.14307144481388218,-0.17048615986596696,0.30203607624816453,0.21774554695858409
9,SumAllCompounds,long,0.2707447598165157,0.21677148846960165,0.047685508619969744,0.11538324376284881
10,AminoSugar,lat,-0.16874939692943866,-0.20032799349988487,0.2225389695803887,0.14638269787587715
11,Carb,lat,-0.1994216497130199,-0.2343649981147836,0.1482555115447678,0.08805030516565086
12,ConcHC,lat,-0.31679653825924675,-0.3349725547980813,0.01959751819242596,0.013289072030103736
13,Lignin,lat,-0.24556599777487848,-0.2552842743418772,0.07348176255715061,0.06245463345358968
14,Lipid,lat,-0.17327281659685836,-0.17224153632387396,0.210205863981635,0.2129744548231373
15,Other,lat,0.0457145998523682,-0.01958807647309966,0.7427275032554075,0.8881956544271965
16,Protein,lat,-0.18226393848857833,-0.196698815041981,0.18713508921031252,0.15398864376589724
17,Tannin,lat,-0.19678317862991898,-0.20702142273178584,0.1538085895776386,0.13309226113300485
18,UnsatHC,lat,-0.37329483233424254,-0.41730997792399693,0.005431937770793673,0.001692825006155334
19,SumAllCompounds,lat,-0.27506331945959533,-0.2537449971412235,0.0441133566391366,0.06410677564393731
20,AminoSugar,DRNAREA,0.23514392032042492,0.4191026923968968,0.08696915925807566,0.001608858209019369
21,Carb,DRNAREA,0.12349286358128325,0.39661937773806477,0.37364764036513465,0.0029860249914586278
22,ConcHC,DRNAREA,0.2194363665123544,0.16182833689567375,0.11087118183835111,0.2423673442539275
23,Lignin,DRNAREA,0.2611059337425242,0.34182137027847004,0.0565127704753223,0.011412869551780738
24,Lipid,DRNAREA,0.13704585804222058,0.2827011955393684,0.3230618787976645,0.03833346756095544
25,Other,DRNAREA,0.03439751501145322,-0.055385381600749406,0.8049642496304126,0.6907923102971054
26,Protein,DRNAREA,0.18927935997410358,0.38757266812623037,0.17043869286695512,0.0037851672491556326
27,Tannin,DRNAREA,0.2761907742064486,0.1486267558925874,0.04321777471223505,0.2834531419153682
28,UnsatHC,DRNAREA,0.25908633720956237,-0.007315991271996512,0.05852002633294219,0.9581270644174841
29,SumAllCompounds,DRNAREA,0.28068471273804824,0.3227429530403773,0.039795018811458416,0.01730072929094434
30,AminoSugar,ELEV,-0.3692528675900221,-0.3545579874242575,0.02251970916618504,0.028952061321270817
31,Carb,ELEV,-0.39798411248066845,-0.4469046355765667,0.013339864374216977,0.004910279434559584
32,ConcHC,ELEV,-0.17606076224809392,-0.20125855264336578,0.2903548519210648,0.2256493265758202
33,Lignin,ELEV,-0.15663683258501568,-0.2071569283579466,0.3476620991443765,0.21205567640478093
34,Lipid,ELEV,-0.35159355388142516,-0.34777388892777233,0.030417688604502537,0.03239556522569829
35,Other,ELEV,-0.10097462756697057,-0.1265350352839956,0.5463747452956154,0.4490448275303148
36,Protein,ELEV,-0.34003908690700385,-0.34726935274311793,0.03672422921690535,0.03266453311473818
37,Tannin,ELEV,-0.16319465212775594,-0.2664551079110005,0.3275911091665007,0.10586598611880768
38,UnsatHC,ELEV,0.1523344259166538,0.12231196547849969,0.36122793648121415,0.46444432913105727
39,SumAllCompounds,ELEV,-0.24181081918494612,-0.2935769777875041,0.14356754173071473,0.07362639970636584
40,AminoSugar,PRECIP,-0.00205335656414483,0.16726975730368687,0.9903766406834257,0.322401603108173
41,Carb,PRECIP,-0.05087712306022937,0.0679214923540822,0.7649055193138738,0.6895750760569663
42,ConcHC,PRECIP,-0.24016764354215828,-0.021932424576180727,0.15220241643745822,0.8974794102761349
43,Lignin,PRECIP,-0.33267030572515116,-0.15233240498575204,0.0442400149006994,0.3680844556499966
44,Lipid,PRECIP,0.20215461923304082,0.39897966374989685,0.23018207039562338,0.014439459484405608
45,Other,PRECIP,0.37681823279144816,0.4497399826585995,0.021510828332157016,0.005226768296186717
46,Protein,PRECIP,-0.019955374682174967,0.17153695720963674,0.9066784767345611,0.3100317704048441
47,Tannin,PRECIP,-0.21513297273226575,-0.029281014810490863,0.20099464587210453,0.8634115703841487
48,UnsatHC,PRECIP,-0.2780092475116023,-0.1537752111433145,0.09570369753924514,0.36351126754504404
49,SumAllCompounds,PRECIP,-0.2551561417064024,-0.019677572309151254,0.1274742714553557,0.9079720581720279
50,AminoSugar,ELEVMAX,-0.2551696191040593,-0.21475170579877292,0.15180989360236272,0.23008069535443607
51,Carb,ELEVMAX,-0.31153231937183523,-0.26912164421302914,0.07759259083777077,0.12990571617634555
52,ConcHC,ELEVMAX,-0.036685052191948606,-0.05081487832104647,0.8393837252271192,0.778836878642517
53,Lignin,ELEVMAX,-0.1294256068622493,-0.12584607715033394,0.4728476086444296,0.48527867172336603
54,Lipid,ELEVMAX,-0.4020424490000689,-0.41814588210862047,0.020376678310528296,0.015453868059471952
55,Other,ELEVMAX,-0.2873064386208786,-0.26559756475394364,0.10497472664625877,0.13520403218811086
56,Protein,ELEVMAX,-0.31426825948590453,-0.25871145740865464,0.07488625914735858,0.14601214140164367
57,Tannin,ELEVMAX,0.04884861153415669,-0.050472131871714274,0.7871948877549644,0.7802920705961707
58,UnsatHC,ELEVMAX,0.041236325674780326,0.036461939945998,0.8197647859639281,0.8403480282456565
59,SumAllCompounds,ELEVMAX,-0.15812266420246748,-0.1751336898395722,0.37947240026637624,0.3296416598719488
60,AminoSugar,MINBELEV,-0.3593792004881617,-0.40298353546554105,0.05111857678945754,0.027242542807254883
61,Carb,MINBELEV,-0.37668667894124547,-0.4445688660272016,0.04018886763313258,0.013839438041968645
