,Latitude,DrainageArea,Elevation,Precipitation,Min basin elevation,ForestCover
AminoSugar,0.649702272256931,4.303224443447107e-13,0.007578437103328728,0.1474100441307824,0.0001250376737667036,0.0008289226020727902
Carb,0.8247455720869383,0.0002285123250347354,0.14357350244109313,0.49370199957041194,0.023399275778652084,0.015481995050422137
ConcHC,0.5578788923057016,0.0,0.0029792660578611407,0.10013124983429722,9.1268854691684e-06,0.0262993600588306
Lignin,0.2096650277408234,0.0,1.871149424292895e-07,0.0004569227619288796,5.109002110259553e-11,4.3598506804798376e-08
Lipid,0.6648266502992355,1.6426859872353816e-12,0.021836909590561282,0.1750312577013462,0.0008098444195252519,0.0018513635623182978
Other,0.6601536024969037,1.3322676295501878e-15,0.027007952250535983,0.17095610454541577,0.0003434062439207075,0.01267459973983076
Protein,0.575292692744136,0.0,0.0033069092023847446,0.09313000017491735,5.480390382239797e-05,2.66308413383598e-05
Tannin,0.47439086883077897,0.0,0.0001258874995779813,0.02450838253455223,4.47536327996545e-08,0.0011300944845009653
UnsatHC,0.6460489442545154,3.5267344600242723e-12,0.052012643945562154,0.21091755099248055,0.00285501665509158,0.07523984015955887
SumAllCompounds,0.311234311224472,0.0,4.76343273780877e-06,0.002760369378600691,2.0758272878396156e-09,3.0780534112651026e-06
