,Latitude,DrainageArea,Elevation,Precipitation,Min basin elevation,ForestCover
AminoSugar,0.17216058430421022,0.01666997841618878,0.11823526240192317,0.6490381330046295,0.21233643709025363,0.2656600250958645
Carb,0.10480081997016999,0.10412132218478298,0.15127841051164004,0.928533715387843,0.3375219332898234,0.05391135090277155
ConcHC,0.009397149238614677,0.22548578263359187,0.09564274435771192,0.2670958845904847,0.27278416727661603,0.28519003717893776
Lignin,0.05224893573123146,0.054286166331928065,0.2698039859374761,0.2585534227255968,0.26934197829434847,0.05614766760062162
Lipid,0.19597894898854373,0.06514461725797882,0.38179468941881556,0.14366373062737514,0.4442633399371638,0.39599849097125706
Other,0.7480046363638317,0.6016825554520042,0.8538331455831623,0.016739376897652036,0.3325096000496226,0.9802192224620057
Protein,0.16366505513027985,0.030762003449276376,0.21561110664932182,0.632951161289093,0.32100757625742093,0.05083250122849914
Tannin,0.07605961630384983,0.17581492996521653,0.12215327477533688,0.2595494675296388,0.22930697290876823,0.13898577840132398
UnsatHC,0.0011017016146492864,0.7596675935967867,0.5342539658811973,0.29030181816264644,0.9345652835889822,0.7166843234059215
SumAllCompounds,0.02600797787804776,0.03562685890930317,0.13097029771173752,0.4268660372153532,0.20302531912723776,0.4501534739813722
