,Latitude,DrainageArea,Elevation,Precipitation,Min basin elevation,ForestCover
AminoSugar,-0.8290402643213494,0.04616886809621631,-0.0767684535040586,0.08584994052022747,-0.04299458811114306,-0.08208222192005586
Carb,-2.046372497221705,0.06978546647223821,-0.1387352683791177,0.036356106224447605,-0.06306083354715367,-0.23686925268082112
ConcHC,-1.254785036166481,0.01992633645847416,-0.07271791982338013,-0.18996831444043144,-0.03042529045687626,0.117582260876375
Lignin,-0.426750619620822,0.013548178368226919,-0.02294580974991242,-0.08360793384371544,-0.015786679988163337,-0.06986503371429156
Lipid,-0.8223737098508975,0.03762084233507247,-0.04931768419764433,0.2937309845820719,-0.030398374657266133,-0.06747747883905637
Other,0.19852040831798365,-0.010150674830255266,-0.010523003260075058,0.48051505933859445,-0.03587066993921623,0.0024618457687455002
Protein,-0.6848577540816402,0.033707149270496624,-0.0536126564826834,0.07739431944646444,-0.0313122104154411,-0.11100253599062045
Tannin,-0.6865685853100923,0.017067773576514348,-0.04919433668376469,-0.13800393809445097,-0.02415853158728861,0.10580060574195049
UnsatHC,-2.0640957011135357,0.0069891783449063955,0.03986769538164901,-0.2408979412721972,0.003567094786488343,0.0513377486616219
SumAllCompounds,-0.6122058201684425,0.018664796920463807,-0.03815369380538423,-0.07018781594845082,-0.02186763038144617,-0.034165518268843044
