,Compound_Name,WHONDRS_Features,Pearsons_Correlation,Spearsman_Correlation,Pearsons_Correlation_pvalue,Spearsman_Correlation_pvalue
0,AminoSugar,Stream_Order,0.2447078021788849,0.3015212550991194,0.07452545888752299,0.026710569434391495
1,Carb,Stream_Order,0.17803048956312045,0.2817044316124679,0.1977608494371058,0.039050289403560944
2,ConcHC,Stream_Order,0.03872221136328896,0.010218811422969229,0.7810161113013824,0.9415376203682873
3,Lignin,Stream_Order,0.11985674909847929,0.19179125634708438,0.3879875267483983,0.16473225409071318
4,Lipid,Stream_Order,0.18407485515385424,0.17509124756689565,0.18271706968499327,0.20538587294618574
5,Other,Stream_Order,-0.13992347811488956,-0.12044919701480532,0.3129077698112855,0.3856291311393597
6,Protein,Stream_Order,0.2103469233621192,0.2730167680514889,0.12683635060537318,0.04577784989555575
7,Tannin,Stream_Order,0.06558466181700943,0.002724808616696687,0.6375138335101344,0.9843986190361738
8,UnsatHC,Stream_Order,-0.0299882887813055,-0.06923206387019408,0.8295646026390473,0.618876617148868
9,SumAllCompounds,Stream_Order,0.1436622358418072,0.15293378535808752,0.30002328071217055,0.2695745365897497
10,AminoSugar,Sediment,-0.25408717396686364,-0.354251248729637,0.06373651417373934,0.008585789489796105
11,Carb,Sediment,-0.17117722197232765,-0.41805149931704394,0.2158584236339316,0.0016576306551098095
12,ConcHC,Sediment,-0.16978849403723403,-0.1797684752968656,0.21966235293693648,0.1933478959992698
13,Lignin,Sediment,-0.2919696617724036,-0.2959833400863531,0.03217368803528737,0.02977434912610939
14,Lipid,Sediment,-0.12154952291110246,-0.23522756002451037,0.3812716168343536,0.08685368835685853
15,Other,Sediment,0.027377187885427277,-0.029085900049982828,0.8442111617726318,0.8346201750335382
16,Protein,Sediment,-0.2648983497599653,-0.38082739109972086,0.052893978801870085,0.004498298834376762
17,Tannin,Sediment,-0.11139851086035862,-0.20093204922073596,0.42257919987426934,0.1451443089341005
18,UnsatHC,Sediment,-0.15869056946846635,-0.11311192758954607,0.25174259863473397,0.41543373697186436
19,SumAllCompounds,Sediment,-0.26762963486680186,-0.2756722968913881,0.05040602374599994,0.043627751771114935
20,AminoSugar,US_Water.Column.Height_cm,0.37898462085052415,0.47624861688732884,0.004712600884868232,0.0002724446271814734
21,Carb,US_Water.Column.Height_cm,0.3059145733220301,0.5065282956202469,0.024472144524305253,9.302728739827325e-05
22,ConcHC,US_Water.Column.Height_cm,0.23804957888377143,0.2078836109858107,0.08302761814211156,0.13144849272227413
23,Lignin,US_Water.Column.Height_cm,0.28976708730779593,0.34101183653978995,0.03355732248135162,0.011622017601438953
24,Lipid,US_Water.Column.Height_cm,0.3186617354928457,0.3300007653463537,0.018850779968396052,0.014811588361657647
25,Other,US_Water.Column.Height_cm,-0.06088652310855369,0.050704478249573255,0.6618504809103076,0.7157712081636283
26,Protein,US_Water.Column.Height_cm,0.3805820189451023,0.45629294633294826,0.00452633020101156,0.0005247652804924045
27,Tannin,US_Water.Column.Height_cm,0.24598882894728616,0.25737007386103233,0.07297182038393281,0.0602706309567927
28,UnsatHC,US_Water.Column.Height_cm,0.03133919041048436,-0.033225072754238645,0.8220091157573489,0.8114884143636464
29,SumAllCompounds,US_Water.Column.Height_cm,0.3471537873547786,0.3530623574760963,0.010114553387948508,0.008826945679681038
30,AminoSugar,US_Sunlight.Access_Perc.Canopy.Cover,-0.07771001126907259,-0.11075042470680639,0.5764801612718725,0.42530002231157316
31,Carb,US_Sunlight.Access_Perc.Canopy.Cover,-0.004643107095217466,-0.13859693782596672,0.9734181874471917,0.31756303587785734
32,ConcHC,US_Sunlight.Access_Perc.Canopy.Cover,-0.0060043340332661815,-0.0005766051679012138,0.9656293068767368,0.9966983484637034
33,Lignin,US_Sunlight.Access_Perc.Canopy.Cover,-0.08707454181638973,-0.06201133371415897,0.5312602331377768,0.6559910196013996
34,Lipid,US_Sunlight.Access_Perc.Canopy.Cover,-0.09497129127360454,-0.06510913056472858,0.494537215028496,0.6399604744878389
35,Other,US_Sunlight.Access_Perc.Canopy.Cover,-0.028844775943563654,-0.013581984860896484,0.8359721898097008,0.9223484904355999
36,Protein,US_Sunlight.Access_Perc.Canopy.Cover,-0.10156178697674177,-0.13843961109493952,0.4649298799064454,0.3181180554580557
37,Tannin,US_Sunlight.Access_Perc.Canopy.Cover,0.08674259588989429,0.1527688381514791,0.5328327785013488,0.27009756152643116
38,UnsatHC,US_Sunlight.Access_Perc.Canopy.Cover,0.0320618142857049,0.022075255850312826,0.8179740605812573,0.8741078644711215
39,SumAllCompounds,US_Sunlight.Access_Perc.Canopy.Cover,-0.05169876249795016,-0.015864769121330714,0.7104395464905289,0.909347985520412
40,AminoSugar,MS_Water.Column.Height_cm,0.33479856414025594,0.42481540513601795,0.013339992252841038,0.0013655391080902707
41,Carb,MS_Water.Column.Height_cm,0.25481125585373277,0.45736053739830923,0.06295865555649979,0.0005071888305409457
42,ConcHC,MS_Water.Column.Height_cm,0.2551598356969551,0.22574434150356512,0.06258691322599666,0.10073036329667978
43,Lignin,MS_Water.Column.Height_cm,0.26861911584508996,0.34300268802158834,0.049528533515172106,0.011113490984988976
