,Avg_Water.Column.Height_cm,SW_pH,DO_perc.sat,DO_mg.per.L,SW_Temp_degC
AminoSugar,29.649666285015012,5.945164893375847,32.1135168028372,58.08013888749344,6.283806560340216
Carb,5.631500925082479,0.2408605786851537,32.54289167829938,28.126446047203366,0.3207180622750135
ConcHC,130.12247695610708,343.56259112721017,450.3783864818821,285.66796692514845,63.7648384140302
Lignin,928.4841015369924,385.1543245083433,1317.314053947952,1405.8012741114571,638.7560752072166
Lipid,19.941029945444292,1.3332430420056858,18.252107419073326,33.867390765971514,5.128738592089728
Other,6.661031680160264,1.2707644656280686,16.785118359723352,11.51971472073907,9.595465312384754
Protein,117.39376866702797,15.126241443533788,149.45691292007263,213.9176651553112,40.67934003265396
Tannin,201.80871222511723,833.1040039993081,422.1302728790183,345.1211283303447,144.95044268796903
UnsatHC,8.351628574058426,2.3857161422206667,64.81319588901427,23.953172770299634,12.13999846924971
SumAllCompounds,1435.6269636864147,845.2909101580107,2352.5017990308575,2392.6928880124806,834.8109085933195
