,Avg_Water.Column.Height_cm,SW_pH,DO_perc.sat,DO_mg.per.L,SW_Temp_degC
AminoSugar,9.829293096763614e-05,0.4750493700265199,0.5264979179475975,0.19400580580981153,0.12191253181863848
Carb,0.07263340520132378,0.7534377558134313,0.7875953783825227,0.5476416251135467,0.534730586688676
ConcHC,8.34067393329363e-06,0.36421476713371126,0.4421466354924255,0.10099434004487051,0.06205909539257504
Lignin,2.220446049250313e-16,0.03928591764841727,0.052017358317605344,0.00048759401611997433,9.301150218021803e-06
Lipid,0.00028358369490000257,0.4922704548324863,0.561485962783697,0.24930298890799896,0.14786602129896442
Other,6.423410034495092e-05,0.453849006756198,0.44788920365411533,0.09528394361003167,0.07259316820442496
Protein,2.770815211272648e-06,0.3644463276671972,0.4181998873457311,0.10950051805001215,0.049137004476881296
Tannin,2.9900578235597663e-08,0.22196176110619037,0.3646625229955336,0.06569874606059423,0.01602036528264339
UnsatHC,0.0006909639015670876,0.5278939826982225,0.5368057874634418,0.21386554666198054,0.13622318279243784
SumAllCompounds,6.610267888618182e-13,0.1100331161138679,0.16050845088139676,0.007689171592712318,0.00034822593180416916
