,Avg_Water.Column.Height_cm,SW_pH,DO_perc.sat,DO_mg.per.L,SW_Temp_degC
AminoSugar,0.003068943493586218,0.10605644990511531,0.7075730908022133,0.9714140711584351,0.0006653988763825058
Carb,0.03262587746728518,0.18554155041150167,0.849153566585811,0.7844210261815101,0.012719929573716815
ConcHC,0.03594975026431069,0.6043374871194591,0.5242937150450215,0.5911842868546882,0.032396070127159726
Lignin,0.013669688916384315,0.025618085168638727,0.749070794696538,0.3666675482143469,0.005222357917507692
Lipid,0.02846689133603242,0.027914019350299357,0.7318647725433398,0.9529292158858951,0.005792939412968101
Other,0.8415825820067695,0.22622912341546808,0.4717689317263385,0.29317511323570566,0.4740031088912684
Protein,0.0036818514190672946,0.021068516832068118,0.8076361700766999,0.9366382693433866,0.001692321277992903
Tannin,0.03327997342880451,0.17885162085256567,0.6730894562469003,0.6628431059965858,0.1055936432019835
UnsatHC,0.9022292802663463,0.41489174935858686,0.22809893509274515,0.2212234229874941,0.6248339966982801
SumAllCompounds,0.004253648131105736,0.18465345022259627,0.7653141709992317,0.537711658469787,0.0017503786143302502
